,address,amount
0,0x04bb39f36bbadf4e31aa1df09a2f5a0b76114a62,2
1,0x711447b288e2f853fa9716aa8eba37b02ca8a50f,0
2,0x8d16abfba10c079340ddf2b252f94353cdccfa57,6
3,0x8f8d0e8c921b6fbee6da796f3c823a8a1e354bea,3
4,0x936146f6850dc157e77fc060c442e0bdffbbe6ff,2
5,0x4b41947e269464408bbd9dce7346a7e07d522b12,2
6,0xeca19b1a87442b0c25801b809bf567a6ca87b1da,0
7,0xabde0e83ba513891aa3bc0a2f796132cae026106,5
8,0x11759e580b444aa1136482929984c76a19ef2794,0
9,0x635893f9918cbb41cb6c6bde4a87e5959f53dd56,5
10,0x873ce5c27fe1a679b724e25b5a856282a93b137f,30
11,0xee889cdf628e138f15538304fd72e2af56cbe4b6,0
